
# Explanation:
#   SampleID: unique folder name for each sample.
#   Rwp(%)   : final Rwp in percent (Bragg-Only, Conventional line).
#   ZeroShift: final zero shift (degrees).
#   Biso_O1  : isotropic displacement parameter for atom O1.
#   Biso_O2  : isotropic displacement parameter for atom O2.
#   Biso_O3  : isotropic displacement parameter for atom O3.
#   Biso_Pb  : isotropic displacement parameter for atom Pb.
#   Biso_S  : isotropic displacement parameter for atom S.
#   Scale    : final scale factor.
#   U, V, W  : final peak shape parameters.
#   a, b, c  : orthorhombic lattice parameters (Å).
#   Status   : parse result from .out (OK, NO_OUT, NEG_BISO, etc.).
#   Class    : classification label [CLOSE, BOUNDARY, INVALID].
#   FirstBragg: first bragg peak 2theta from .prf

Run: 1
DateTime: 2025-05-05_13-38-19
Crystal Structure: orthorhombic
# If 'sample1' is found, we define reference_rwp = that sample's Rwp => Rref.
# Reference Rwp (Rref) from sample1 => 7.370
# Thresholds => Close < (Rref+10), Boundary < (Rref+20), else Invalid.
# SampleID        Rwp(%)    ZeroShift    Biso_O1  Biso_O2  Biso_O3  Biso_Pb  Biso_S  Scale      U        V        W       a        b        c      FirstBragg   Status     Class
sample1043       8.760     -0.10344   1.98956   1.46869   1.31852   1.41335   0.41844      1.481509   0.15557  -0.45586   0.41893   8.47943  5.39651  6.95779    20.37230  OK        CLOSE
sample1044       7.770     -0.09094   1.98971   1.46865   1.31862   1.41325   0.41843      1.479896   0.15577  -0.45597   0.41924   8.47879  5.39691  6.95901    20.38330  OK        CLOSE
sample1045      15.800     -0.04094   1.98991   1.46850   1.31849   1.41339   0.41847      1.481879   0.15561  -0.45552   0.41882   8.47964  5.39637  6.95831    20.43370  OK        CLOSE
sample1046      10.300     -0.06594   1.98981   1.46872   1.31869   1.41346   0.41845      1.481139   0.15569  -0.45574   0.41945   8.47837  5.39664  6.95866    20.40930  OK        CLOSE
sample1047      12.000     -0.11594   1.98961   1.46858   1.31856   1.41332   0.41849      1.479658   0.15554  -0.45620   0.41903   8.47921  5.39718  6.95796    20.35970  OK        CLOSE
sample1048      12.100     -0.12219   1.98963   1.46874   1.31864   1.41326   0.41850      1.480954   0.15551  -0.45637   0.41877   8.47847  5.39657  6.95840    20.35340  OK        CLOSE
sample1049       8.040     -0.07219   1.98983   1.46860   1.31851   1.41341   0.41845      1.479125   0.15567  -0.45592   0.41919   8.47932  5.39711  6.95909    20.40130  OK        CLOSE
sample105       10.300     -0.06530   1.98979   1.46858   1.31847   1.41335   0.41849      1.481488   0.15567  -0.45629   0.41939   8.47959  5.39645  6.95828    20.40940  OK        CLOSE
sample1050      15.300     -0.04719   1.98973   1.46867   1.31870   1.41334   0.41848      1.480214   0.15559  -0.45569   0.41898   8.47805  5.39684  6.95805    20.42940  OK        CLOSE
sample1051       8.030     -0.09719   1.98954   1.46852   1.31857   1.41319   0.41843      1.480150   0.15575  -0.45614   0.41940   8.47889  5.39630  6.95875    20.37740  OK        CLOSE
sample1052      10.100     -0.10969   1.98968   1.46856   1.31860   1.41337   0.41844      1.480584   0.15555  -0.45580   0.41887   8.47826  5.39725  6.95822    20.36640  OK        CLOSE
sample1053      10.600     -0.05969   1.98988   1.46871   1.31847   1.41323   0.41849      1.482064   0.15571  -0.45626   0.41929   8.47911  5.39671  6.95892    20.41440  OK        CLOSE
sample1054       7.990     -0.08469   1.98978   1.46849   1.31867   1.41330   0.41847      1.480137   0.15548  -0.45603   0.41908   8.47868  5.39644  6.95788    20.39160  OK        CLOSE
sample1055      17.400     -0.13469   1.98959   1.46863   1.31854   1.41344   0.41851      1.479843   0.15563  -0.45557   0.41950   8.47953  5.39698  6.95857    20.33960  OK        BOUNDARY
sample1056      13.900     -0.13313   1.98974   1.46859   1.31867   1.41323   0.41844      1.481926   0.15571  -0.45621   0.41873   8.47823  5.39652  6.95798    20.34350  OK        CLOSE
sample1057       7.480     -0.08313   1.98954   1.46874   1.31854   1.41337   0.41848      1.480250   0.15555  -0.45576   0.41915   8.47908  5.39706  6.95868    20.39140  OK        CLOSE
sample1058      11.800     -0.05813   1.98964   1.46852   1.31861   1.41345   0.41846      1.479705   0.15563  -0.45553   0.41894   8.47866  5.39679  6.95833    20.41740  OK        CLOSE
sample1059      10.500     -0.10813   1.98984   1.46866   1.31848   1.41330   0.41850      1.481185   0.15547  -0.45599   0.41936   8.47950  5.39625  6.95903    20.36530  OK        CLOSE
sample106       16.200     -0.04030   1.98989   1.46865   1.31867   1.41342   0.41843      1.480747   0.15559  -0.45606   0.41876   8.47832  5.39672  6.95863    20.43500  OK        CLOSE
sample1060       7.610     -0.09563   1.98979   1.46870   1.31871   1.41341   0.41851      1.479908   0.15567  -0.45587   0.41884   8.47844  5.39719  6.95781    20.38100  OK        CLOSE
sample1061      14.200     -0.04563   1.98959   1.46855   1.31858   1.41327   0.41847      1.480815   0.15551  -0.45633   0.41925   8.47929  5.39666  6.95851    20.42900  OK        CLOSE
sample1062      10.500     -0.07063   1.98969   1.46863   1.31864   1.41320   0.41849      1.481555   0.15574  -0.45610   0.41905   8.47802  5.39639  6.95816    20.40580  OK        CLOSE
sample1063      13.400     -0.12063   1.98989   1.46848   1.31851   1.41334   0.41845      1.480075   0.15559  -0.45564   0.41946   8.47887  5.39693  6.95885    20.35380  OK        CLOSE
sample1064      10.400     -0.11438   1.98972   1.46861   1.31869   1.41339   0.41844      1.482111   0.15561  -0.45547   0.41920   8.47876  5.39632  6.95842    20.36090  OK        CLOSE
sample1065      10.500     -0.06438   1.98952   1.46846   1.31856   1.41325   0.41848      1.480630   0.15576  -0.45593   0.41878   8.47961  5.39686  6.95772    20.41130  OK        CLOSE
sample1066      15.500     -0.03938   1.98962   1.46868   1.31863   1.41332   0.41846      1.479890   0.15553  -0.45616   0.41941   8.47834  5.39713  6.95877    20.43570  OK        CLOSE
sample1067       7.470     -0.08938   1.98982   1.46854   1.31849   1.41346   0.41851      1.480614   0.15568  -0.45570   0.41899   8.47919  5.39659  6.95807    20.38610  OK        CLOSE
sample1068       8.580     -0.10188   1.98977   1.46850   1.31866   1.41329   0.41850      1.479519   0.15549  -0.45604   0.41931   8.47813  5.39699  6.95859    20.37370  OK        CLOSE
sample1069      14.100     -0.05188   1.98957   1.46865   1.31853   1.41343   0.41845      1.481000   0.15565  -0.45559   0.41889   8.47897  5.39645  6.95790    20.42410  OK        CLOSE
sample107        7.620     -0.09030   1.98969   1.46851   1.31854   1.41328   0.41847      1.480018   0.15575  -0.45560   0.41918   8.47917  5.39726  6.95793    20.38540  OK        CLOSE
sample1070       8.120     -0.07688   1.98967   1.46857   1.31859   1.41336   0.41847      1.481741   0.15557  -0.45582   0.41952   8.47855  5.39672  6.95894    20.39770  OK        CLOSE
sample1071      15.300     -0.12688   1.98986   1.46872   1.31846   1.41322   0.41843      1.480260   0.15572  -0.45627   0.41910   8.47940  5.39726  6.95825    20.34810  OK        CLOSE
sample1072      14.300     -0.13000   1.98955   1.46864   1.31847   1.41330   0.41845      1.480908   0.15568  -0.45550   0.41939   8.47860  5.39682  6.95820    20.34580  OK        CLOSE
sample1073       7.950     -0.08000   1.98975   1.46849   1.31860   1.41344   0.41849      1.478838   0.15552  -0.45596   0.41897   8.47945  5.39629  6.95890    20.39380  OK        CLOSE
sample1074      14.000     -0.05500   1.98985   1.46871   1.31853   1.41337   0.41843      1.480167   0.15575  -0.45619   0.41918   8.47818  5.39656  6.95785    20.42190  OK        CLOSE
sample1075       9.930     -0.10500   1.98965   1.46856   1.31867   1.41322   0.41847      1.481648   0.15560  -0.45573   0.41876   8.47903  5.39710  6.95855    20.36980  OK        CLOSE
sample1076       7.360     -0.09250   1.98960   1.46845   1.31850   1.41333   0.41848      1.480360   0.15571  -0.45607   0.41949   8.47839  5.39642  6.95838    20.38320  OK        CLOSE
sample1077      13.800     -0.04250   1.98980   1.46860   1.31863   1.41319   0.41844      1.482018   0.15556  -0.45561   0.41907   8.47924  5.39696  6.95907    20.43120  OK        CLOSE
sample1078       9.560     -0.06750   1.98990   1.46853   1.31857   1.41326   0.41850      1.481278   0.15564  -0.45584   0.41928   8.47882  5.39723  6.95803    20.40840  OK        CLOSE
sample1079      12.900     -0.11750   1.98970   1.46867   1.31870   1.41340   0.41846      1.479797   0.15548  -0.45630   0.41886   8.47966  5.39669  6.95872    20.35640  OK        CLOSE
sample108        8.330     -0.10280   1.98954   1.46854   1.31864   1.41346   0.41848      1.481117   0.15555  -0.45617   0.41908   8.47811  5.39632  6.95880    20.37240  OK        CLOSE
sample1080      13.700     -0.12375   1.98953   1.46855   1.31849   1.41345   0.41847      1.481093   0.15550  -0.45624   0.41891   8.47807  5.39703  6.95899    20.35120  OK        CLOSE
sample1081       9.040     -0.07375   1.98973   1.46869   1.31862   1.41331   0.41851      1.479612   0.15566  -0.45579   0.41933   8.47892  5.39649  6.95829    20.40160  OK        CLOSE
sample1082      14.800     -0.04875   1.98983   1.46847   1.31855   1.41324   0.41845      1.480352   0.15558  -0.45556   0.41870   8.47850  5.39622  6.95864    20.42640  OK        CLOSE
sample1083       8.270     -0.09875   1.98963   1.46862   1.31868   1.41338   0.41849      1.481833   0.15573  -0.45601   0.41912   8.47935  5.39676  6.95794    20.37680  OK        CLOSE
sample1084      10.500     -0.11125   1.98958   1.46873   1.31845   1.41321   0.41848      1.480723   0.15562  -0.45590   0.41902   8.47871  5.39662  6.95881    20.36340  OK        CLOSE
sample1085      10.300     -0.06125   1.98978   1.46858   1.31858   1.41335   0.41843      1.482203   0.15577  -0.45636   0.41944   8.47956  5.39716  6.95812    20.41380  OK        CLOSE
sample1086       7.470     -0.08625   1.98988   1.46866   1.31852   1.41342   0.41850      1.480738   0.15554  -0.45613   0.41881   8.47829  5.39689  6.95846    20.38940  OK        CLOSE
sample1087      15.100     -0.13625   1.98968   1.46851   1.31865   1.41328   0.41846      1.479982   0.15570  -0.45567   0.41923   8.47913  5.39635  6.95777    20.33980  OK        CLOSE
sample1088      15.200     -0.13547   1.98979   1.46857   1.31857   1.41338   0.41846      1.481347   0.15558  -0.45584   0.41935   8.47803  5.39687  6.95828    20.34080  OK        CLOSE
sample1089       7.630     -0.08547   1.98959   1.46872   1.31870   1.41324   0.41850      1.479492   0.15574  -0.45629   0.41893   8.47888  5.39633  6.95897    20.38870  OK        CLOSE
sample109       12.900     -0.05280   1.98974   1.46869   1.31851   1.41331   0.41844      1.479637   0.15571  -0.45572   0.41950   8.47896  5.39686  6.95811    20.42280  OK        CLOSE
sample1090      12.300     -0.06047   1.98969   1.46850   1.31850   1.41331   0.41844      1.480607   0.15550  -0.45606   0.41914   8.47846  5.39660  6.95793    20.41600  OK        CLOSE
sample1091      11.500     -0.11047   1.98989   1.46864   1.31863   1.41345   0.41848      1.482088   0.15566  -0.45561   0.41873   8.47931  5.39714  6.95862    20.36390  OK        CLOSE
sample1092       7.620     -0.09797   1.98974   1.46868   1.31853   1.41327   0.41847      1.479849   0.15554  -0.45618   0.41946   8.47867  5.39619  6.95810    20.37800  OK        CLOSE
sample1093      13.000     -0.04797   1.98954   1.46853   1.31866   1.41341   0.41843      1.481717   0.15570  -0.45572   0.41904   8.47952  5.39673  6.95880    20.42590  OK        CLOSE
sample1094       9.490     -0.07297   1.98964   1.46861   1.31847   1.41334   0.41849      1.480977   0.15562  -0.45549   0.41925   8.47824  5.39700  6.95776    20.40400  OK        CLOSE
sample1095      12.900     -0.12297   1.98984   1.46846   1.31860   1.41320   0.41845      1.479496   0.15577  -0.45595   0.41883   8.47909  5.39646  6.95845    20.35190  OK        CLOSE
sample1096      12.700     -0.11672   1.98976   1.46863   1.31852   1.41325   0.41846      1.481162   0.15576  -0.45612   0.41899   8.47856  5.39720  6.95889    20.35790  OK        CLOSE
sample1097       9.880     -0.06672   1.98956   1.46848   1.31865   1.41339   0.41850      1.479681   0.15560  -0.45566   0.41941   8.47941  5.39666  6.95819    20.40830  OK        CLOSE
sample1098      16.700     -0.04172   1.98966   1.46870   1.31845   1.41347   0.41844      1.480422   0.15568  -0.45589   0.41878   8.47814  5.39639  6.95854    20.43400  OK        CLOSE
sample1099       7.440     -0.09172   1.98986   1.46855   1.31858   1.41332   0.41848      1.480888   0.15552  -0.45635   0.41920   8.47899  5.39694  6.95784    20.38440  OK        CLOSE
sample11         7.560     -0.09421   1.98964   1.46851   1.31870   1.41342   0.41851      1.479757   0.15560  -0.45598   0.41895   8.47895  5.39626  6.95831    20.38110  OK        CLOSE
sample110        7.990     -0.07780   1.98984   1.46847   1.31871   1.41324   0.41850      1.479859   0.15548  -0.45549   0.41887   8.47853  5.39713  6.95845    20.39760  OK        CLOSE
sample1100       9.110     -0.10422   1.98971   1.46852   1.31855   1.41343   0.41849      1.480052   0.15564  -0.45555   0.41909   8.47835  5.39653  6.95906    20.37030  OK        CLOSE
sample1101      11.800     -0.05422   1.98951   1.46866   1.31868   1.41329   0.41845      1.481532   0.15548  -0.45601   0.41951   8.47920  5.39707  6.95836    20.42070  OK        CLOSE
sample1102       7.810     -0.07922   1.98961   1.46859   1.31848   1.41322   0.41851      1.479950   0.15572  -0.45624   0.41888   8.47878  5.39680  6.95871    20.39550  OK        CLOSE
sample1103      14.100     -0.12922   1.98981   1.46874   1.31861   1.41336   0.41847      1.479311   0.15556  -0.45578   0.41930   8.47962  5.39626  6.95802    20.34590  OK        CLOSE
sample1104      12.800     -0.12609   1.98960   1.46867   1.31864   1.41344   0.41845      1.481810   0.15553  -0.45615   0.41875   8.47883  5.39670  6.95771    20.35040  OK        CLOSE
sample1105       7.840     -0.07609   1.98980   1.46852   1.31851   1.41330   0.41849      1.479877   0.15569  -0.45569   0.41917   8.47968  5.39724  6.95841    20.39830  OK        CLOSE
sample1106      13.700     -0.05110   1.98990   1.46874   1.31871   1.41323   0.41847      1.479589   0.15561  -0.45592   0.41896   8.47841  5.39697  6.95806    20.42520  OK        CLOSE
sample1107       8.910     -0.10109   1.98970   1.46860   1.31857   1.41337   0.41851      1.481070   0.15577  -0.45638   0.41938   8.47925  5.39643  6.95876    20.37310  OK        CLOSE
sample1108       7.470     -0.08860   1.98955   1.46849   1.31861   1.41319   0.41850      1.480461   0.15557  -0.45558   0.41886   8.47819  5.39710  6.95789    20.38820  OK        CLOSE
sample1109      16.200     -0.03859   1.98975   1.46863   1.31847   1.41333   0.41846      1.481440   0.15573  -0.45604   0.41928   8.47904  5.39656  6.95858    20.43610  OK        CLOSE
sample111       13.800     -0.12780   1.98964   1.46862   1.31857   1.41339   0.41846      1.481858   0.15563  -0.45594   0.41929   8.47938  5.39659  6.95776    20.34800  OK        CLOSE
sample1110      11.600     -0.06359   1.98985   1.46856   1.31867   1.41340   0.41848      1.482180   0.15549  -0.45626   0.41907   8.47862  5.39629  6.95824    20.41220  OK        CLOSE
sample1111      12.300     -0.11360   1.98965   1.46871   1.31854   1.41326   0.41844      1.480699   0.15565  -0.45581   0.41948   8.47946  5.39683  6.95893    20.36010  OK        CLOSE
sample1112      11.500     -0.11985   1.98958   1.46854   1.31859   1.41332   0.41843      1.481625   0.15563  -0.45587   0.41912   8.47830  5.39636  6.95867    20.35540  OK        CLOSE
sample1113       9.400     -0.06984   1.98977   1.46869   1.31846   1.41346   0.41847      1.480144   0.15547  -0.45632   0.41870   8.47915  5.39690  6.95797    20.40580  OK        CLOSE
sample1114      13.400     -0.04484   1.98987   1.46847   1.31866   1.41339   0.41845      1.479404   0.15571  -0.45609   0.41933   8.47872  5.39717  6.95902    20.42940  OK        CLOSE
sample1115       8.090     -0.09484   1.98968   1.46862   1.31852   1.41324   0.41850      1.479621   0.15555  -0.45564   0.41891   8.47957  5.39663  6.95832    20.37980  OK        CLOSE
sample1116       9.440     -0.10734   1.98953   1.46873   1.31862   1.41335   0.41851      1.479774   0.15575  -0.45621   0.41922   8.47851  5.39677  6.95850    20.36800  OK        CLOSE
sample1117      13.100     -0.05734   1.98972   1.46858   1.31849   1.41321   0.41846      1.481255   0.15559  -0.45575   0.41880   8.47936  5.39623  6.95780    20.41850  OK        CLOSE
sample1118       7.990     -0.08235   1.98982   1.46865   1.31869   1.41328   0.41849      1.480708   0.15567  -0.45552   0.41943   8.47809  5.39650  6.95885    20.39280  OK        CLOSE
sample1119      15.600     -0.13235   1.98963   1.46851   1.31856   1.41342   0.41844      1.480514   0.15551  -0.45598   0.41901   8.47894  5.39704  6.95815    20.34330  OK        CLOSE
sample112       13.600     -0.13093   1.98978   1.46868   1.31855   1.41341   0.41844      1.479914   0.15576  -0.45586   0.41879   8.47859  5.39642  6.95798    20.34530  OK        CLOSE
sample1120      15.700     -0.13391   1.98989   1.46869   1.31868   1.41322   0.41849      1.481393   0.15560  -0.45571   0.41918   8.47843  5.39645  6.95908    20.34050  OK        CLOSE
sample1121       7.490     -0.08391   1.98969   1.46854   1.31855   1.41336   0.41845      1.479826   0.15575  -0.45616   0.41876   8.47928  5.39699  6.95839    20.39090  OK        CLOSE
sample1122      11.200     -0.05891   1.98959   1.46861   1.31862   1.41343   0.41847      1.480653   0.15552  -0.45594   0.41939   8.47801  5.39726  6.95873    20.41660  OK        CLOSE
sample1123       9.550     -0.10891   1.98979   1.46847   1.31849   1.41329   0.41843      1.482134   0.15567  -0.45548   0.41897   8.47886  5.39672  6.95804    20.36700  OK        CLOSE
sample1124       7.990     -0.09641   1.98984   1.46858   1.31865   1.41347   0.41844      1.479575   0.15548  -0.45628   0.41929   8.47822  5.39685  6.95891    20.37850  OK        CLOSE
