# SHAP Beeswarm Plot Raw Data
# Generated: 2025-05-13 10:38:14

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Biso ce_SHAP,Biso ce_Value,Biso o_SHAP,Biso o_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
40,0.001263,-0.021120,-0.000409,5.411159,-0.000497,0.039380,-0.001079,0.848910,-0.000382,0.000644,-0.000027,0.021561,-0.000027,-0.039672,-0.000031,0.019660
41,-0.000372,-0.023460,0.000675,5.411636,0.002357,0.039380,0.005080,0.848900,0.000810,0.000643,-0.001043,0.021563,0.001966,-0.039668,-0.000947,0.019670
42,0.000024,-0.019080,0.000286,5.411444,-0.000097,0.039380,-0.000197,0.848840,0.001046,0.000645,0.000163,0.021556,-0.000361,-0.039688,0.000140,0.019652
43,-0.001575,-0.014930,0.001182,5.411478,0.000752,0.039380,0.001642,0.848940,0.001074,0.000644,0.000335,0.021547,-0.000694,-0.039674,0.000299,0.019680
44,0.000394,-0.021940,0.000491,5.411168,0.001048,0.039380,0.002309,0.848810,-0.000872,0.000644,0.000008,0.021550,0.000085,-0.039663,0.000008,0.019671
45,-0.001009,-0.021020,0.001044,5.411652,0.000217,0.039380,0.000507,0.848830,0.000842,0.000644,-0.000524,0.021556,0.000892,-0.039635,-0.000486,0.019642
46,-0.000083,-0.013020,0.000314,5.411539,-0.000474,0.039380,-0.001020,0.848790,-0.001648,0.000644,-0.000071,0.021539,0.000129,-0.039628,-0.000062,0.019649
47,-0.001023,-0.013470,0.001519,5.411692,0.000385,0.039380,0.000879,0.848840,0.000994,0.000644,-0.000550,0.021551,0.001033,-0.039680,-0.000501,0.019661
48,0.001423,-0.014250,-0.001788,5.411260,-0.000125,0.039380,-0.000271,0.848800,-0.001499,0.000644,0.000567,0.021531,-0.001097,-0.039642,0.000514,0.019657
49,0.001721,-0.021750,-0.001027,5.411531,0.000513,0.039380,0.001105,0.848890,0.000712,0.000644,0.000552,0.021553,-0.001032,-0.039682,0.000507,0.019676
