
# Explanation:
#   SampleID: unique folder name for each sample.
#   Rwp(%)   : final Rwp in percent (Bragg-Only, Conventional line).
#   ZeroShift: final zero shift (degrees).
#   Biso_Ce  : isotropic displacement parameter for atom Ce.
#   Biso_O  : isotropic displacement parameter for atom O.
#   Scale    : final scale factor.
#   U, V, W  : final peak shape parameters.
#   a        : cubic lattice parameter (Å).
#   Status   : parse result from .out (OK, NO_OUT, NEG_BISO, etc.).
#   Class    : classification label [CLOSE, BOUNDARY, INVALID].
#   FirstBragg: first bragg peak 2theta from .prf

Run: 1
DateTime: 2025-05-12_05-34-00
Crystal Structure: cubic
# If 'sample1' is found, we define reference_rwp = that sample's Rwp => Rref.
# Reference Rwp (Rref) from sample1 => 12.600
# Thresholds => Close < (Rref+10), Boundary < (Rref+20), else Invalid.
# SampleID        Rwp(%)    ZeroShift    Biso_Ce  Biso_O  Scale      U        V        W       a      FirstBragg   Status     Class
sample1104      13.600     -0.02422   0.03938   0.84878      0.000644   0.02153  -0.03964   0.01967   5.41142    28.52220  OK        CLOSE
sample1105      12.700     -0.01672   0.03938   0.84886      0.000644   0.02156  -0.03968   0.01965   5.41169    28.52820  OK        CLOSE
sample1106      15.700     -0.01297   0.03938   0.84882      0.000644   0.02155  -0.03970   0.01968   5.41129    28.53420  OK        CLOSE
sample1107      12.700     -0.02047   0.03938   0.84890      0.000644   0.02157  -0.03966   0.01966   5.41156    28.52520  OK        CLOSE
sample1108      13.200     -0.01860   0.03938   0.84880      0.000643   0.02156  -0.03963   0.01964   5.41122    28.52890  OK        CLOSE
sample1109      15.600     -0.01110   0.03938   0.84888      0.000644   0.02154  -0.03967   0.01966   5.41149    28.53500  OK        CLOSE
sample111       15.000     -0.02448   0.03938   0.84878      0.000644   0.02154  -0.03965   0.01966   5.41160    28.52100  OK        CLOSE
sample1110      14.100     -0.01484   0.03938   0.84884      0.000644   0.02155  -0.03969   0.01965   5.41136    28.53190  OK        CLOSE
sample1111      13.700     -0.02235   0.03938   0.84892      0.000644   0.02153  -0.03965   0.01967   5.41163    28.52300  OK        CLOSE
sample1112      12.600     -0.02328   0.03938   0.84889      0.000644   0.02153  -0.03964   0.01965   5.41125    28.52400  OK        CLOSE
sample1113      13.100     -0.01578   0.03938   0.84881      0.000645   0.02155  -0.03968   0.01967   5.41152    28.53010  OK        CLOSE
sample1114      15.600     -0.01203   0.03938   0.84894      0.000644   0.02154  -0.03970   0.01964   5.41139    28.53460  OK        CLOSE
sample1115      12.800     -0.01953   0.03938   0.84885      0.000644   0.02156  -0.03966   0.01966   5.41166    28.52560  OK        CLOSE
sample1116      12.500     -0.02141   0.03938   0.84887      0.000644   0.02156  -0.03963   0.01968   5.41132    28.52560  OK        CLOSE
sample1117      13.500     -0.01391   0.03938   0.84879      0.000643   0.02154  -0.03967   0.01966   5.41159    28.53160  OK        CLOSE
sample1118      13.700     -0.01766   0.03938   0.84891      0.000644   0.02155  -0.03969   0.01967   5.41119    28.53000  OK        CLOSE
sample1119      14.400     -0.02516   0.03938   0.84883      0.000644   0.02153  -0.03965   0.01965   5.41146    28.52110  OK        CLOSE
sample112       13.600     -0.02495   0.03938   0.84881      0.000644   0.02153  -0.03968   0.01967   5.41135    28.52190  OK        CLOSE
sample1120      13.600     -0.02539   0.03938   0.84894      0.000644   0.02156  -0.03970   0.01967   5.41130    28.52170  OK        CLOSE
sample1121      12.600     -0.01789   0.03938   0.84886      0.000644   0.02153  -0.03966   0.01965   5.41157    28.52780  OK        CLOSE
sample1122      15.800     -0.01414   0.03938   0.84890      0.000644   0.02155  -0.03964   0.01966   5.41116    28.53370  OK        CLOSE
sample1123      12.600     -0.02164   0.03938   0.84882      0.000644   0.02152  -0.03968   0.01964   5.41143    28.52470  OK        CLOSE
sample1124      12.700     -0.01977   0.03938   0.84892      0.000645   0.02153  -0.03969   0.01966   5.41123    28.52770  OK        CLOSE
sample1125      14.600     -0.01227   0.03938   0.84884      0.000644   0.02155  -0.03965   0.01968   5.41150    28.53370  OK        CLOSE
sample1126      13.600     -0.01602   0.03938   0.84888      0.000644   0.02154  -0.03963   0.01965   5.41136    28.53070  OK        CLOSE
sample1127      14.500     -0.02352   0.03938   0.84879      0.000644   0.02156  -0.03967   0.01967   5.41164    28.52180  OK        CLOSE
sample1128      12.500     -0.02258   0.03938   0.84883      0.000644   0.02156  -0.03969   0.01965   5.41120    28.52510  OK        CLOSE
sample1129      13.500     -0.01508   0.03938   0.84891      0.000643   0.02154  -0.03966   0.01967   5.41147    28.53110  OK        CLOSE
sample113       12.700     -0.01744   0.03938   0.84889      0.000644   0.02155  -0.03964   0.01965   5.41162    28.52790  OK        CLOSE
sample1130      16.800     -0.01133   0.03938   0.84878      0.000644   0.02155  -0.03963   0.01966   5.41133    28.53560  OK        CLOSE
sample1131      12.600     -0.01883   0.03938   0.84887      0.000644   0.02153  -0.03968   0.01968   5.41160    28.52660  OK        CLOSE
sample1132      12.500     -0.02070   0.03938   0.84885      0.000644   0.02153  -0.03968   0.01966   5.41140    28.52590  OK        CLOSE
sample1133      13.500     -0.01321   0.03938   0.84893      0.000645   0.02155  -0.03964   0.01964   5.41167    28.53190  OK        CLOSE
sample1134      13.600     -0.01695   0.03938   0.84881      0.000644   0.02154  -0.03963   0.01967   5.41126    28.53030  OK        CLOSE
sample1135      14.400     -0.02445   0.03938   0.84889      0.000644   0.02156  -0.03966   0.01965   5.41153    28.52140  OK        CLOSE
sample1136      13.300     -0.02492   0.03938   0.84887      0.000644   0.02155  -0.03966   0.01964   5.41128    28.52230  OK        CLOSE
sample1137      12.700     -0.01742   0.03938   0.84879      0.000644   0.02153  -0.03970   0.01966   5.41155    28.52830  OK        CLOSE
sample1138      14.300     -0.01367   0.03938   0.84892      0.000644   0.02156  -0.03968   0.01965   5.41141    28.53280  OK        CLOSE
sample1139      13.400     -0.02117   0.03938   0.84883      0.000643   0.02154  -0.03964   0.01967   5.41169    28.52380  OK        CLOSE
sample114       15.800     -0.01369   0.03938   0.84885      0.000643   0.02154  -0.03966   0.01966   5.41121    28.53390  OK        CLOSE
sample1140      12.600     -0.01930   0.03938   0.84890      0.000644   0.02154  -0.03965   0.01967   5.41135    28.52750  OK        CLOSE
sample1141      14.300     -0.01180   0.03938   0.84881      0.000644   0.02157  -0.03969   0.01965   5.41162    28.53360  OK        CLOSE
sample1142      14.500     -0.01555   0.03938   0.84894      0.000644   0.02153  -0.03967   0.01968   5.41121    28.53200  OK        CLOSE
sample1143      13.200     -0.02305   0.03938   0.84885      0.000645   0.02156  -0.03963   0.01966   5.41148    28.52310  OK        CLOSE
sample1144      13.300     -0.02399   0.03938   0.84880      0.000644   0.02155  -0.03966   0.01968   5.41138    28.52270  OK        CLOSE
sample1145      12.800     -0.01649   0.03938   0.84888      0.000644   0.02153  -0.03970   0.01965   5.41165    28.52870  OK        CLOSE
sample1146      16.300     -0.01274   0.03938   0.84884      0.000643   0.02156  -0.03968   0.01966   5.41125    28.53460  OK        CLOSE
sample1147      12.600     -0.02024   0.03938   0.84893      0.000644   0.02154  -0.03964   0.01965   5.41152    28.52570  OK        CLOSE
sample1148      12.500     -0.02211   0.03938   0.84878      0.000644   0.02154  -0.03965   0.01965   5.41118    28.52560  OK        CLOSE
sample1149      13.800     -0.01461   0.03938   0.84886      0.000644   0.02156  -0.03969   0.01967   5.41145    28.53170  OK        CLOSE
sample115       12.600     -0.02120   0.03938   0.84894      0.000644   0.02156  -0.03970   0.01964   5.41148    28.52490  OK        CLOSE
sample1150      12.900     -0.01836   0.03938   0.84882      0.000645   0.02152  -0.03967   0.01964   5.41131    28.52860  OK        CLOSE
sample1151      16.000     -0.02586   0.03938   0.84891      0.000644   0.02155  -0.03963   0.01966   5.41158    28.51970  OK        CLOSE
sample1152      13.700     -0.02580   0.03938   0.84883      0.000645   0.02156  -0.03967   0.01967   5.41127    28.52140  OK        CLOSE
sample1153      12.600     -0.01830   0.03938   0.84892      0.000644   0.02154  -0.03963   0.01965   5.41154    28.52750  OK        CLOSE
sample1154      14.000     -0.01455   0.03938   0.84879      0.000644   0.02155  -0.03965   0.01968   5.41141    28.53200  OK        CLOSE
sample1155      13.900     -0.02205   0.03938   0.84888      0.000644   0.02153  -0.03969   0.01966   5.41167    28.52300  OK        CLOSE
sample1156      12.500     -0.02018   0.03938   0.84885      0.000643   0.02153  -0.03966   0.01964   5.41134    28.52670  OK        CLOSE
sample1157      13.900     -0.01268   0.03938   0.84894      0.000644   0.02155  -0.03962   0.01966   5.41161    28.53270  OK        CLOSE
sample1158      14.100     -0.01643   0.03938   0.84881      0.000644   0.02154  -0.03964   0.01965   5.41120    28.53120  OK        CLOSE
sample1159      13.700     -0.02393   0.03938   0.84890      0.000644   0.02157  -0.03968   0.01967   5.41147    28.52220  OK        CLOSE
sample116       12.700     -0.01932   0.03938   0.84879      0.000644   0.02156  -0.03967   0.01966   5.41128    28.52790  OK        CLOSE
sample1160      12.800     -0.02299   0.03938   0.84893      0.000644   0.02156  -0.03968   0.01965   5.41137    28.52370  OK        CLOSE
sample1161      12.900     -0.01549   0.03938   0.84884      0.000645   0.02154  -0.03964   0.01967   5.41164    28.52980  OK        CLOSE
sample1162      17.300     -0.01174   0.03938   0.84889      0.000644   0.02155  -0.03966   0.01964   5.41123    28.53570  OK        CLOSE
sample1163      12.600     -0.01924   0.03938   0.84880      0.000644   0.02153  -0.03970   0.01966   5.41151    28.52670  OK        CLOSE
sample1164      12.600     -0.02111   0.03938   0.84891      0.000644   0.02152  -0.03967   0.01968   5.41117    28.52670  OK        CLOSE
sample1165      14.300     -0.01362   0.03938   0.84882      0.000643   0.02155  -0.03963   0.01966   5.41144    28.53270  OK        CLOSE
sample1166      13.300     -0.01736   0.03938   0.84886      0.000644   0.02153  -0.03965   0.01967   5.41130    28.52970  OK        CLOSE
sample1167      15.100     -0.02486   0.03938   0.84878      0.000644   0.02156  -0.03969   0.01965   5.41157    28.52070  OK        CLOSE
sample1168      13.200     -0.02440   0.03938   0.84882      0.000644   0.02155  -0.03964   0.01966   5.41132    28.52260  OK        CLOSE
sample1169      12.700     -0.01690   0.03938   0.84890      0.000644   0.02152  -0.03968   0.01968   5.41159    28.52860  OK        CLOSE
sample117       14.600     -0.01182   0.03938   0.84887      0.000644   0.02153  -0.03963   0.01968   5.41155    28.53390  OK        CLOSE
sample1170      16.500     -0.01315   0.03938   0.84886      0.000644   0.02156  -0.03970   0.01965   5.41118    28.53460  OK        CLOSE
sample1171      12.500     -0.02065   0.03938   0.84894      0.000644   0.02154  -0.03966   0.01967   5.41146    28.52560  OK        CLOSE
sample1172      13.000     -0.01877   0.03938   0.84880      0.000644   0.02154  -0.03963   0.01967   5.41125    28.52860  OK        CLOSE
sample1173      15.200     -0.01127   0.03938   0.84888      0.000644   0.02156  -0.03967   0.01965   5.41152    28.53460  OK        CLOSE
sample1174      13.900     -0.01502   0.03938   0.84884      0.000644   0.02153  -0.03969   0.01966   5.41139    28.53160  OK        CLOSE
sample1175      14.000     -0.02252   0.03938   0.84892      0.000643   0.02155  -0.03965   0.01964   5.41166    28.52260  OK        CLOSE
sample1176      12.600     -0.02346   0.03938   0.84887      0.000644   0.02156  -0.03964   0.01966   5.41122    28.52410  OK        CLOSE
sample1177      13.100     -0.01596   0.03938   0.84878      0.000644   0.02153  -0.03968   0.01964   5.41149    28.53010  OK        CLOSE
sample1178      15.800     -0.01221   0.03938   0.84891      0.000645   0.02157  -0.03970   0.01967   5.41136    28.53460  OK        CLOSE
